Age,P_A_given_LH_2018,P_A_given_RH_2018
6,0.000332819861696342,0.0002856904487355545
7,0.0003266033987623585,0.0002803542765608961
8,0.0003309071038705008,0.0002840485496048903
9,0.0003060412521345673,0.000262703860906257
10,0.00032851615658819954,0.0002819961756915602
11,0.00033999270354324586,0.00029184757047554487
12,0.0003428618402820074,0.00029431041917154106
13,0.0004050264696218413,0.00034767214091812443
14,0.0005542215800374429,0.0004757402731099248
15,0.0007215878897985343,0.0006194064470430341
16,0.0011256579805074554,0.0009662576383958265
17,0.0013886621815605992,0.0011920187688621413
18,0.0016277569097907297,0.0013972561601951544
19,0.0017248293694521629,0.001480582541076358
20,0.0016741412870673752,0.001437072214113759
21,0.0016918342969564045,0.0014522597810724019
22,0.0016129330366404615,0.0013845314419325076
23,0.0015722869328413393,0.0013496410854058952
24,0.0015196860926307107,0.0013044888593126323
25,0.00150008032491584,0.0012876593932233252
26,0.0015670268488202764,0.001345125862796569
27,0.0016970943809774676,0.001456775003681728
28,0.0017989487352035032,0.001544206132389592
29,0.0019022376577989197,0.0016328686854454536
30,0.0019151487731233468,0.001643951504577436
31,0.0020007446858297338,0.0017174264906746552
32,0.002199193310260742,0.001887773525481056
33,0.0023742106513251976,0.0020380072959368216
34,0.002682642850742066,0.002302763530756409
35,0.0030006388392881398,0.0025757292612293165
36,0.0031880891062205626,0.0027366353760343988
37,0.0034936521688986692,0.0029989287621579896
38,0.003845121419396962,0.0033006277274175194
39,0.004071783221759126,0.003495192774401216
40,0.004320919928574921,0.003709050136170216
41,0.0046896039995057825,0.004025526193605722
42,0.0047659820747509634,0.004330204078271891
43,0.005419291784661391,0.004594765959215085
44,0.005740325079526307,0.00488953717778917
45,0.005681124309736564,0.005125313383397062
46,0.0063983244036169545,0.005362722512310509
47,0.006475182550688963,0.005562487278047511
48,0.0067197624079848505,0.0057618201504900475
49,0.007144621230241381,0.00616927194509543
50,0.0076826393674665075,0.006390174934660947
51,0.008304633744178249,0.00689399211966681
52,0.009391469401844746,0.007611170782003434
53,0.008138958050572447,0.006598026108214081
54,0.008550961506209135,0.007144107615847866
55,0.009198833293638794,0.0078556979982758
56,0.010029186539969339,0.008779845552845885
57,0.009588664409387127,0.008509025012414975
58,0.009512988768463786,0.008843280939180593
59,0.010862211446336466,0.009188838475461087
60,0.010950064336159998,0.009692761088687406
61,0.01173245025742677,0.010331700205581416
62,0.012543314493903026,0.01077142419868937
63,0.013343164737182675,0.01160127680183848
64,0.014702181959957627,0.012755565921260103
65,0.014592073789827697,0.013199597132850677
66,0.01602157946968412,0.01409728622868968
67,0.01729189273853102,0.015061843615657338
68,0.019155428414539388,0.016444200859556904
69,0.020824529960527097,0.01801039083344201
70,0.020852844855692155,0.018936692551248857
71,0.022983880593114098,0.02064199615389967
72,0.023999688786371595,0.02219441450426394
73,0.026209139151347403,0.023275586906505972
74,0.026601153507116157,0.02493983026344423
75,0.02803226666898187,0.02604748591944536
76,0.029612580119652086,0.02660781715032341
77,0.030192668182045645,0.02852167879443438
78,0.030886067680929444,0.02943425098153049
79,0.03108523942901305,0.029822235751426045
80,0.02966816788174154,0.029387684178523884
81,0.028598342894113473,0.03032608621935666
82,0.028039693432887293,0.030550870039442162
83,0.027773577883874728,0.03063156289754743
84,0.026744050029083633,0.03103861029362026
85,0.026774411390233524,0.030685181244136082
86,0.02565984706679947,0.02979541909079503
87,0.024485517730137223,0.028194068245632926
88,0.022098541992672534,0.026977155408029963
89,0.021511881249163513,0.025050446816462908
90,0.01797783953887537,0.022901216208069237
91,0.016499453105029406,0.021317452361341284
92,0.013808038490640584,0.01858083281094028
93,0.011386457033470871,0.0157450922596342
94,0.00953153663903678,0.013576182849446101
95,0.007158581774829388,0.011283914700769603
96,0.005694718238366292,0.009058303887873523
97,0.0044778601302685826,0.006893327842881518
98,0.003420388318366191,0.005269311137485037
99,0.002397923515510597,0.0038608609615997883
100,0.0016147011916589475,0.0026368477848396654
101,0.0011584151090753296,0.0018707314092597793
102,0.0006939000215243203,0.001247369604075334
103,0.00046754665097502296,0.000793470869909485
104,0.00031275563520412585,0.0005305755775774975
105,0.00018267653239485433,0.00033060745508078194
106,9.706439520447324e-05,0.00019101228399956926
107,6.579436579534371e-05,0.0001157085855970887
108,3.6585297674448956e-05,5.9502799160708e-05
109,1.686218302162185e-05,3.749318316405147e-05
110,9.518454808168368e-06,1.7661397517358886e-05
111,3.979816672371521e-06,9.403774250190206e-06
112,2.8483567190126093e-06,5.29934755351049e-06
113,1.9672646425452165e-06,3.996361799587986e-06
114,1.339719057529016e-06,2.660593894690334e-06
